category,item,cost,size,Brain,Digestion/Gut,Weight Loss,Hair/Skin/Nails,Anti-Disease,Sleep,"Athletic (recovery, stamina)",Energy,Heart,Anti-Aging,Immunity,Vision,Bones,Dental,Anti-inflammatory
🥣 base,oats,10,11,,,1,,1,,,1,,,1,,,,
🥣 base,granola,20,8,,,,,,,,,,,,,,,
🍓 fruit,peaches,5,1,,,,,,,,,,,,,,,
🍓 fruit,mango,5,1,,,,,,,,,,,,,,,
🍓 fruit,bananas,5,1,,1,,1,,,,1,,,,,,,
🍓 fruit,cherries,5,1,1,,,,1,1,,,,,,,,,1
🍓 fruit,blueberries,5,1,,1,,1,1,,,,1,,,,1,,
🍓 fruit,goji berries,5,1,,,,,,,,1,,1,1,,,,1
🍓 fruit,pineapple,5,1,,1,,,,,,,,,1,1,,1,1
🍓 fruit,prunes,5,1,,,,,,,,,,,,,,,
🍓 fruit,strawberries,5,1,,,,1,,,,,,,,1,1,,
🍓 fruit,raisins,5,1,,1,,1,,,,,,,,,,1,
🍓 fruit,coconut flakes,5,1,,,,,,,,,,,,,,,
🍓 fruit,cranberries,5,1,,,,,,,,,,,,,,,
🍓 fruit,apples,5,1,,,,,,,,,,,,,,,
🥜 nuts,walnuts,5,1,,,1,1,1,1,,1,1,,,,1,,1
🥜 nuts,pecans,5,1,,,,,,,,,,,,,,,
🥜 nuts,almonds,5,1,1,,1,1,,,,,1,,1,,1,1,
🥜 nuts,cashews,5,1,,,,,,,,,,,,,,,
🌻 seeds,sunflower seeds,5,1,,,,,,,,,,,,,,,
🌻 seeds,chia seed,5,1,,1,1,1,1,,"1",,,1,,,,1,
🌻 seeds,flax seed,5,1,,1,1,1,,,,,1,,,,,,
🌻 seeds,pumpkin seeds,5,1,,,,,,,,,,,,,,,
🌻 seeds,hemp seeds,5,1,,,,,,,,,,,,,,,
💥 powder,cocao powder,6,.5,,,,,,,,,,,,,,,
💥 powder,blueberry powder,6,.5,,,,,,,,,,,,,,,
💥 powder,acai powder,6,.5,,,,,,,,,,,,,,,
💥 powder,bee pollen,6,.5,,,,,,,,1,1,,1,,,,1
💪 protein,whey protein,3,1,,,1,1,,,"1",,,,1,,1,,
🍪 spice,vanilla bean,2,0,,,,,,,,,,,,,,,
🍪 spice,chai latte,2,0,,,,,,,,,,,,,,,
🍪 spice,pumpkin spice,2,0,,,,,,,,,,,,,,,
🍪 spice,cinnamon roll,2,0,,,,,,,,,,,,,,,
🍫 treats,dark chocolate chips,5,1,,,,,,,,,,,,,,,
🍫 treats,semisweet chocolate chips,5,1,,,,,,,,,,,,,,,
🍫 treats,cocao nibs,5,1,,,,,,,,,,,,,,,
🍫 treats,mint chips,5,1,,,,,,,,,,,,,,,
🍯 sweetener,stevia (calorie free),2,1,,,,,,,,,,,,,,,
🍯 sweetener,brown sugar,2,1,,,,,,,,,,,,,,,
🍯 sweetener,honey granules,2,1,,,,,,,,,,,,,,,
🍯 sweetener,coconut sugar,2,1,,,,,,,,,,,,,,,
